학교명,도로명우편번호,도로명주소,도로명상세주소,좌표X,좌표Y
서울숭신초등학교,4702,서울특별시 성동구 마장로 161,(하왕십리동),127.028005141452,37.5676883077439
한양초등학교,4763,서울특별시 성동구 살곶이길 208,/ 한양초등학교 (사근동),127.050263444631,37.5576210338606
세종초등학교,5006,서울특별시 광진구 군자로 114,/ 세종초등학교 (군자동),127.072864629554,37.5530110986438
성동초등학교,5114,서울특별시 광진구 자양로4길 63,(자양동),127.089281026795,37.5332813682573
서울행현초등학교,4713,서울특별시 성동구 행당로 95,(행당동),127.0293680158,37.5577089897922
서울행당초등학교,4746,서울특별시 성동구 고산자로8길 6,/ 서울행당초등학교 (행당동),127.034873404864,37.5570191301189
서울중마초등학교,4907,서울특별시 광진구 동일로72길 43,(중곡동),127.080023721804,37.5661150659734
서울중광초등학교,4908,서울특별시 광진구 긴고랑로13길 59,(중곡동/중광초등학교),127.082512285004,37.565172983593
서울장안초등학교,5004,서울특별시 광진구 군자로 74,(군자동),127.072402467919,37.549876450253
서울자양초등학교,5054,서울특별시 광진구 아차산로44길 26,(자양동),127.080107720459,37.5368378891148
서울응봉초등학교,4742,서울특별시 성동구 독서당로62길 28,(응봉동/ 응봉초등학교),127.033829695602,37.5502533901839
서울용마초등학교,4926,서울특별시 광진구 천호대로113길 10,(중곡동),127.083527417056,37.5578273465317
서울용답초등학교,4805,서울특별시 성동구 용답25길 1,/ 서울용답초등학교,127.053760797077,37.5607271218686
서울용곡초등학교,4940,서울특별시 광진구 용마산로22길 82,/ 서울용곡초등학교 (중곡동),127.088452984118,37.5671086161443
서울옥정초등학교,4735,서울특별시 성동구 한림말길 43,(옥수동/옥정초등학교),127.015785478614,37.5423097389598
서울옥수초등학교,4740,서울특별시 성동구 금호로1길 25,/ 옥수초등학교 (금호동4가),127.021869551034,37.5455293912538
서울양진초등학교,4982,서울특별시 광진구 워커힐로 32,(광장동/양진초중학교),127.098311399741,37.5445751665695
서울양남초등학교,5114,서울특별시 광진구 뚝섬로64길 71,/ (자양동/ 서울양남초등학교),127.089234331023,37.5311232360546
서울신자초등학교,5110,서울특별시 광진구 뚝섬로46길 64,/ 서울신자초등학교 (자양동),127.075587591515,37.5302454529249
서울신양초등학교,5090,서울특별시 광진구 능동로 42,/ 신양초등학교 (자양동),127.0699952764,37.5346820949284
서울송원초등학교,4800,서울특별시 성동구 동일로43길 9,(송정동),127.069526172922,37.5541592708709
서울성자초등학교,5102,서울특별시 광진구 뚝섬로56길 7,/ 서울성자초등학교 (자양동),127.083408323591,37.531493571169
서울성수초등학교,4798,서울특별시 성동구 아차산로17길 21,(성수동2가),127.062886077541,37.5443378762673
서울사근초등학교,4761,서울특별시 성동구 사근동11길 16,(사근동/ 사근초등학교),127.047573849243,37.5626797138007
서울무학초등학교,4710,서울특별시 성동구 무학봉15길 21,/ 서울무학초등학교 (하왕십리동),127.029643655901,37.5632747388032
서울마장초등학교,4753,서울특별시 성동구 마장로35나길 31,/ 서울마장초등학교 (마장동),127.041605053834,37.5683388716972
서울동호초등학교,4731,서울특별시 성동구 매봉길 49-35,(옥수동/ 동호초등학교),127.009879731064,37.5462920770572
서울동자초등학교,5069,서울특별시 광진구 뚝섬로 561,(자양동),127.072179165371,37.5350582094918
서울동의초등학교,4948,서울특별시 광진구 영화사로 111,(구의동/서울동의초등학교),127.099047310011,37.5534224448219
서울동명초등학교,4705,서울특별시 성동구 마장로29길 29,/ 서울동명초등학교 (마장동),127.035108248567,37.5681228514315
서울금호초등학교,4726,서울특별시 성동구 무수막길 69,/ 서울금호초등학교 (금호동2가),127.020752859362,37.5518979414195
서울금옥초등학교,4725,서울특별시 성동구 독서당로 251,(금호동4가/ 서울금옥초등학교),127.017491634615,37.5463023672305
서울금북초등학교,4721,서울특별시 성동구 행당로1길 13,/ 서울금북초등학교 (금호동1가),127.023556547484,37.5574954945237
서울구의초등학교,5022,서울특별시 광진구 광나루로30길 49,/ 서울구의초등학교 (화양동),127.08031177586,37.5430074366803
서울구남초등학교,5048,서울특별시 광진구 구의강변로 69,/ 서울구남초등학교 (구의동),127.092288798461,37.5370965949427
서울광진초등학교,4980,서울특별시 광진구 자양로40길 41,/ 서울광진초등학교 (구의동),127.091332532375,37.5476114602117
서울광장초등학교,4966,서울특별시 광진구 광장로1길 27,/ 서울광장초등학교 (광장동),127.101799885644,37.5485492186653
서울광남초등학교,4973,서울특별시 광진구 아차산로70길 35,(광장동),127.100704228215,37.5409675314785
서울경일초등학교,4774,서울특별시 성동구 뚝섬로 332,(성수동1가),127.046605149237,37.5409418986185
서울경수초등학교,4785,서울특별시 성동구 뚝섬로13길 22,(성수동2가/경수초등학교),127.058066769768,37.5404366739206
서울경동초등학교,4781,서울특별시 성동구 성수일로 34,(성수동1가/경동초등학교),127.050074037135,37.5438252989974
경복초등학교,4991,서울특별시 광진구 천호대로130길 58,/ 경복초등학교 (능동),127.086793350213,37.5498138606171
중앙대학교사범대학부속초등학교,6973,서울특별시 동작구 서달로 135,(흑석동/ 중앙대부속초등학교),126.960162287237,37.5052685494717
서울흑석초등학교,6904,서울특별시 동작구 현충로 87,/ 서울흑석초등학교 (흑석동),126.965149160443,37.5082970524535
서울행림초등학교,7031,서울특별시 동작구 솔밭로 47,(사당동/행림초등학교),126.964977725041,37.4828114848946
서울청룡초등학교,8833,서울특별시 관악구 관악로5길 61,(봉천동),126.951284574125,37.4767252713626
서울조원초등학교,8701,서울특별시 관악구 조원로 67,(신림동),126.909505620969,37.484127765974
서울인헌초등학교,8792,서울특별시 관악구 낙성대로 23,(봉천동),126.959875787277,37.4767753536009
서울은천초등학교,8716,서울특별시 관악구 은천로 69,(봉천동),126.942679132637,37.4865852040387
서울은로초등학교,6973,서울특별시 동작구 서달로 115,/ 서울은로초등학교 (흑석동),126.959778422441,37.5033929766399
서울원신초등학교,8846,서울특별시 관악구 광신길 177,/ 원신초등학교 (신림동),126.92727524954,37.4672075457163
서울원당초등학교,8739,서울특별시 관악구 봉천로 505,(봉천동),126.955766635019,37.4813047920283
서울영화초등학교,6933,서울특별시 동작구 등용로8길 3,/ 서울영화초등학교 (대방동),126.932815969374,37.5089369468762
서울영본초등학교,6915,서울특별시 동작구 만양로12가길 69,/ 서울영본초등학교 (본동),126.94864052145,37.5113065101691
서울신우초등학교,8823,서울특별시 관악구 호암로 498,/ 신우초등학교 (신림동),126.932535154048,37.4632725256816
서울신성초등학교,8839,서울특별시 관악구 신림로 114,/ 서울신성초등학교 (신림동),126.936754150323,37.472003312266
서울신상도초등학교,6967,서울특별시 동작구 장승배기로 14,(상도동/서울신상도초등학교),126.943817704578,37.5008246344742
서울신봉초등학교,8747,서울특별시 관악구 양녕로6나길 1,(봉천동),126.949130876206,37.4855779476851
서울신림초등학교,8842,서울특별시 관악구 문성로28길 31,/ 서울신림초등학교 (신림동),126.926876735629,37.4771198534832
서울신남성초등학교,7030,서울특별시 동작구 사당로 146,(사당동),126.964679741398,37.4887047110087
서울신길초등학교,6941,서울특별시 동작구 알마타길 16,(대방동),126.926808573769,37.5103665150217
서울상현초등학교,7039,서울특별시 동작구 상도로58길 21,(상도동),126.952669123087,37.4948743920855
서울상도초등학교,6961,서울특별시 동작구 성대로21길 62,(상도동/상도초등학교),126.937378799359,37.5003760295043
서울삼일초등학교,7000,서울특별시 동작구 사당로23나길 27,/ 서울삼일초등학교 (사당동),126.975188515742,37.4882593140973
서울삼성초등학교,8816,서울특별시 관악구 대학7길 52,/ 삼성초등학교 (신림동),126.940492900894,37.4685220375851
서울사당초등학교,8804,서울특별시 관악구 남현4길 51,/ 서울사당초등학교 (남현동),126.973366964486,37.4738196175948
서울봉현초등학교,8723,서울특별시 관악구 성현로 117,(봉천동/서울봉현초등학교),126.955347165898,37.4912022088395
서울봉천초등학교,8736,서울특별시 관악구 행운1라길 17,/ 서울봉천초등학교 (봉천동/봉천초등학교),126.95820924848,37.4832732140812
서울본동초등학교,6907,서울특별시 동작구 노량진로26길 16-40,/ 서울본동초등학교 (본동),126.953923907042,37.5106568125953
서울보라매초등학교,7063,서울특별시 동작구 여의대방로16길 30,/ 서울보라매초등학교 (신대방동),126.916144507788,37.4958518874539
서울미성초등학교,8770,서울특별시 관악구 문성로 79,/ 서울미성초등학교 (신림동),126.912392273996,37.4783399695494
서울문창초등학교,7066,서울특별시 동작구 신대방2길 14,(신대방동/서울문창초등학교),126.914528045959,37.4889482943857
서울동작초등학교,6992,서울특별시 동작구 동작대로29길 214,/ 서울동작초등학교 (사당동),126.976489285999,37.4940605364226
서울대림초등학교,6954,서울특별시 동작구 대방동1길 22,(대방동),126.924878133652,37.5006196717046
서울당곡초등학교,8711,서울특별시 관악구 보라매로2길 23,/ 23 (봉천동/당곡초등학교),126.930369788237,37.4901681154487
서울노량진초등학교,6924,서울특별시 동작구 장승배기로 160,(노량진동),126.940827465638,37.5117195690698
